time,x,y,z
0.000000,-0.033051,-0.837692,-0.542328
0.096000,0.053391,-0.865036,-0.609680
0.196000,-0.075424,-0.829010,-0.612442
0.295000,0.017456,-0.838333,-0.548019
0.396000,0.073776,-0.851608,-0.486969
0.495000,0.038116,-0.859695,-0.615356
0.595000,-0.012039,-0.822937,-0.643692
0.696000,-0.065948,-0.867310,-0.450363
0.795000,0.046707,-0.778198,-0.724777
0.895000,0.002884,-0.832321,-0.543945
0.999000,-0.033295,-0.831741,-0.622971
1.095000,-0.001312,-0.839676,-0.550171
1.195000,-0.013657,-0.818176,-0.543076
1.295000,-0.012939,-0.818100,-0.578827
1.395000,0.054520,-0.885330,-0.508545
1.495000,0.044861,-0.836090,-0.476089
1.598000,0.040604,-0.817078,-0.444305
1.695000,0.010208,-0.797012,-0.540512
1.795000,-0.000595,-0.816284,-0.586197
1.895000,-0.018402,-0.846268,-0.489990
1.995000,0.098663,-0.825531,-0.543930
2.095000,0.008636,-0.804688,-0.652527
2.195000,0.071304,-0.864075,-0.456161
2.295000,-0.024521,-0.808701,-0.497482
2.395000,0.136536,-0.824829,-0.448761
2.495000,-0.000565,-0.870056,-0.558487
2.594000,0.075714,-0.929474,-0.484451
2.697000,0.052963,-0.801544,-0.488434
2.797000,0.018677,-0.823318,-0.480164
2.894000,0.025726,-0.844559,-0.707855
2.994000,0.016418,-0.835800,-0.592285
3.094000,0.015762,-0.843231,-0.526718
3.194000,0.019501,-0.830658,-0.559021
3.294000,0.004730,-0.835663,-0.568130
3.394000,-0.055283,-0.809448,-0.544144
3.494000,0.008102,-0.814972,-0.498413
3.598000,-0.131287,-0.878738,-0.470642
3.694000,-0.001144,-0.815262,-0.598511
3.794000,0.025864,-0.897736,-0.498169
3.894000,0.000900,-0.804749,-0.527344
3.994000,0.169586,-0.787537,-0.520065
4.094000,0.004272,-0.860428,-0.642700
4.194000,0.181519,-0.849564,-0.407562
4.294000,-0.090836,-0.838913,-0.628708
4.394000,-0.060928,-0.830734,-0.497345
4.494000,0.001205,-0.806931,-0.509369
4.598000,-0.098709,-0.822418,-0.555908
4.697000,0.026855,-0.838211,-0.542343
4.798000,0.077774,-0.860397,-0.414246
4.894000,0.006149,-0.791779,-0.561508
5.000000,0.005615,-0.790985,-0.568970
5.094000,-0.036499,-0.777481,-0.643539
5.193000,0.043915,-0.861755,-0.612152
5.293000,-0.020966,-0.804214,-0.561707
5.393000,-0.017960,-0.827423,-0.501862
5.493000,0.035950,-0.829300,-0.573273
5.593000,0.012726,-0.818665,-0.527206
5.693000,-0.005569,-0.829590,-0.548569
5.793000,-0.000687,-0.831955,-0.610825
5.893000,-0.025375,-0.813019,-0.577347
5.993000,-0.053360,-0.788406,-0.523819
6.093000,-0.092804,-0.857147,-0.552887
6.193000,0.004501,-0.811371,-0.594986
6.293000,0.085907,-0.840073,-0.561981
6.393000,-0.008835,-0.826660,-0.498642
6.493000,-0.000610,-0.808640,-0.612122
6.593000,0.023849,-0.826187,-0.545349
6.693000,0.075851,-0.778809,-0.568100
6.793000,0.048859,-0.800583,-0.506241
6.893000,0.021637,-0.759644,-0.506424
6.993000,0.009933,-0.759796,-0.794525
7.093000,0.014755,-0.745697,-0.687271
