timestamp,x,y,z
2025/06/26 14:24:24.717,-0.489105,0.726318,-0.045517
2025/06/26 14:24:24.815,-0.8741,0.875839,-0.048309
2025/06/26 14:24:24.915,-1.270798,0.647568,0.079575
2025/06/26 14:24:25.014,-0.609756,0.392715,0.118561
2025/06/26 14:24:25.119,-0.63559,0.379456,-0.04744
2025/06/26 14:24:25.214,-0.873795,0.457718,0.011215
2025/06/26 14:24:25.314,-1.442459,0.874176,0.12529
2025/06/26 14:24:25.414,-1.254562,0.617218,-0.120941
2025/06/26 14:24:25.514,-0.702789,0.511581,-0.112625
2025/06/26 14:24:25.614,-0.678909,0.535736,0.024796
2025/06/26 14:24:25.714,-0.54097,0.610977,-0.079987
2025/06/26 14:24:25.814,-0.548279,0.719009,-0.034195
2025/06/26 14:24:25.920,-1.0112,0.727692,-0.138153
2025/06/26 14:24:26.014,-0.855179,0.464218,0.325745
2025/06/26 14:24:26.114,-0.56633,0.399323,-0.048462
2025/06/26 14:24:26.214,-0.72435,0.487442,-0.044052
2025/06/26 14:24:26.317,-1.22847,0.459183,0.155716
2025/06/26 14:24:26.414,-1.199142,0.521042,-0.118286
2025/06/26 14:24:26.514,-0.833313,0.891693,-0.167068
2025/06/26 14:24:26.614,-0.728455,0.428543,-0.080994
2025/06/26 14:24:26.718,-0.643188,0.55867,0.044846
2025/06/26 14:24:26.814,-0.593262,0.808182,-0.027206
2025/06/26 14:24:26.914,-0.788879,0.808624,0.013611
2025/06/26 14:24:27.014,-1.226303,0.71936,0.0513
2025/06/26 14:24:27.114,-0.757797,0.376266,-0.033051
2025/06/26 14:24:27.214,-0.724457,0.38765,0.014023
2025/06/26 14:24:27.313,-0.981949,0.452454,-0.015884
2025/06/26 14:24:27.414,-1.472076,0.705704,0.173752
2025/06/26 14:24:27.514,-1.236008,0.714554,-0.115265
2025/06/26 14:24:27.614,-0.774582,0.632874,-0.193268
2025/06/26 14:24:27.714,-0.720627,0.54538,0.034393
2025/06/26 14:24:27.814,-0.506851,0.641815,-0.060989
2025/06/26 14:24:27.913,-0.559479,0.802063,0.037308
2025/06/26 14:24:28.013,-0.706299,0.828842,-0.04866
2025/06/26 14:24:28.114,-1.194763,0.785309,0.121399
2025/06/26 14:24:28.214,-0.895248,0.331329,-0.047455
2025/06/26 14:24:28.319,-0.772903,0.523972,-0.005646
2025/06/26 14:24:28.413,-1.087646,0.418884,-0.033463
2025/06/26 14:24:28.513,-1.462173,0.921326,0.01236
2025/06/26 14:24:28.613,-1.22641,0.806198,-0.070602
2025/06/26 14:24:28.713,-0.759628,0.614609,-0.110138
2025/06/26 14:24:28.813,-0.623657,0.568024,0.013138
2025/06/26 14:24:28.913,-0.534256,0.654236,-0.025101
2025/06/26 14:24:29.013,-0.40274,0.669144,0.008957
2025/06/26 14:24:29.113,-1.079102,0.848206,-0.084793
2025/06/26 14:24:29.213,-1.020325,0.506363,0.173798
2025/06/26 14:24:29.313,-0.927231,0.359955,0.018082
2025/06/26 14:24:29.413,-0.893555,0.535507,-0.109634
2025/06/26 14:24:29.513,-1.261185,0.510406,0.083435
2025/06/26 14:24:29.613,-1.117615,0.580795,-0.041077
2025/06/26 14:24:29.713,-0.769623,0.820038,-0.215012
2025/06/26 14:24:29.813,-0.675018,0.591171,-0.082901
2025/06/26 14:24:29.913,-0.546326,0.57811,0.075897
2025/06/26 14:24:30.013,-0.574585,0.736618,-0.010406
2025/06/26 14:24:30.113,-0.822662,0.947678,-0.061554
2025/06/26 14:24:30.213,-1.391037,0.655914,0.034515
2025/06/26 14:24:30.313,-0.732132,0.350159,0.09758
2025/06/26 14:24:30.413,-0.718811,0.458252,-0.03862
2025/06/26 14:24:30.513,-0.91124,0.436966,-0.022461
2025/06/26 14:24:30.613,-1.488022,0.932159,0.081772
2025/06/26 14:24:30.713,-1.3564,0.67775,-0.08905
2025/06/26 14:24:30.813,-0.685699,0.676971,-0.117523
2025/06/26 14:24:30.913,-0.666794,0.500046,0.031357
2025/06/26 14:24:31.012,-0.510773,0.613632,-0.050995
2025/06/26 14:24:31.112,-0.578491,0.783417,-0.0439
2025/06/26 14:24:31.212,-1.009262,0.761124,-0.19313
2025/06/26 14:24:31.312,-0.825104,0.409912,0.098694
2025/06/26 14:24:31.412,-0.69635,0.353561,0.054291
2025/06/26 14:24:31.512,-0.773514,0.479706,0.034103
2025/06/26 14:24:31.612,-1.154221,0.499924,0.105621
2025/06/26 14:24:31.712,-1.259689,0.812164,-0.145538
2025/06/26 14:24:31.812,-1.017914,0.805435,-0.139923
2025/06/26 14:24:31.912,-0.740341,0.532883,-0.134186
2025/06/26 14:24:32.012,-0.610153,0.515137,0.018356
2025/06/26 14:24:32.112,-0.60672,0.670242,0.008438
