time,x,y,z
0.000000,-0.050919,-0.614883,-0.764420
0.101000,-0.025894,-0.627335,-0.775772
0.201000,-0.020416,-0.621140,-0.780548
0.301000,-0.032349,-0.612473,-0.777206
0.401000,-0.017609,-0.623535,-0.797424
0.501000,0.019379,-0.616074,-0.792984
0.601000,-0.055939,-0.616638,-0.795517
0.701000,-0.058273,-0.611877,-0.774979
0.801000,-0.010864,-0.632004,-0.786865
0.901000,-0.019196,-0.631516,-0.809189
1.001000,-0.038528,-0.611755,-0.791870
1.101000,-0.023376,-0.626053,-0.787674
1.201000,-0.006882,-0.630524,-0.795349
1.301000,-0.039047,-0.607803,-0.784714
1.402000,-0.010895,-0.649734,-0.730499
1.501000,-0.004532,-0.626892,-0.846954
1.601000,-0.011978,-0.619522,-0.798935
1.701000,-0.041016,-0.631577,-0.739700
1.801000,-0.042999,-0.631851,-0.785156
1.901000,-0.025528,-0.620956,-0.780899
2.001000,-0.027069,-0.626999,-0.771362
2.101000,-0.043442,-0.627090,-0.776443
2.202000,0.026627,-0.658310,-0.704102
2.302000,-0.013489,-0.645218,-0.781525
2.402000,-0.021591,-0.624222,-0.771759
2.501000,-0.042480,-0.623077,-0.755630
2.602000,-0.013428,-0.636444,-0.775757
2.702000,-0.014145,-0.638092,-0.735031
2.802000,-0.040695,-0.626694,-0.810669
2.902000,-0.014862,-0.617950,-0.800674
3.002000,-0.015167,-0.635406,-0.765457
3.102000,-0.027725,-0.625305,-0.809021
3.202000,-0.056686,-0.612427,-0.773102
3.302000,-0.044937,-0.634995,-0.794739
3.402000,-0.037842,-0.618896,-0.793991
3.502000,-0.038986,-0.626511,-0.805084
3.602000,-0.051987,-0.615692,-0.790787
3.702000,-0.029739,-0.627365,-0.783401
3.802000,-0.028854,-0.631012,-0.789352
3.902000,-0.034210,-0.616455,-0.768295
4.002000,-0.029541,-0.630478,-0.770432
4.102000,-0.048737,-0.626526,-0.759689
4.202000,-0.036942,-0.631638,-0.816147
4.302000,-0.040115,-0.626678,-0.763214
4.403000,-0.007431,-0.637665,-0.766510
4.503000,-0.023666,-0.634872,-0.777756
4.603000,-0.027618,-0.625061,-0.758041
4.703000,0.026749,-0.644119,-0.770584
4.803000,-0.056183,-0.632355,-0.754379
4.903000,-0.061630,-0.614960,-0.778900
5.003000,-0.024216,-0.625336,-0.782043
5.103000,-0.013031,-0.633209,-0.777039
5.203000,-0.015244,-0.645081,-0.742386
5.303000,-0.039780,-0.622055,-0.806381
5.403000,-0.022552,-0.623535,-0.767258
5.506000,-0.033127,-0.636246,-0.788528
5.606000,-0.042419,-0.618484,-0.771713
5.707000,-0.018082,-0.638977,-0.769241
5.803000,-0.030838,-0.633560,-0.768478
5.903000,-0.025452,-0.617905,-0.756592
6.003000,-0.005859,-0.636414,-0.767441
6.103000,-0.013275,-0.632401,-0.769867
6.204000,-0.038071,-0.622955,-0.766434
6.303000,-0.019852,-0.621399,-0.773834
6.404000,0.017242,-0.638382,-0.803070
6.503000,0.036942,-0.623184,-0.745850
6.603000,-0.051483,-0.628708,-0.754990
6.704000,-0.017899,-0.626129,-0.777618
6.804000,-0.011642,-0.630569,-0.786194
6.904000,-0.029297,-0.624191,-0.791443
7.004000,-0.062180,-0.616104,-0.771820
7.104000,-0.029434,-0.623154,-0.802094
7.204000,-0.003647,-0.638199,-0.751678
7.304000,-0.027618,-0.632385,-0.773300
7.404000,-0.027695,-0.629211,-0.766876
7.504000,0.009262,-0.642853,-0.777557
7.604000,-0.075729,-0.617432,-0.768005
7.704000,-0.051666,-0.646576,-0.791351
7.805000,-0.025131,-0.625519,-0.771622
7.904000,-0.007660,-0.641922,-0.770889
8.004000,-0.027252,-0.627426,-0.761108
8.137000,-0.025009,-0.635086,-0.781509
8.235000,-0.005905,-0.636810,-0.780487
