label,source_file,x_mean,x_std,x_var,x_min,x_max,x_median,x_range,x_iqr,x_skew,x_kurt,y_mean,y_std,y_var,y_min,y_max,y_median,y_range,y_iqr,y_skew,y_kurt,z_mean,z_std,z_var,z_min,z_max,z_median,z_range,z_iqr,z_skew,z_kurt,magnitude_mean,magnitude_std,magnitude_var,magnitude_min,magnitude_max,magnitude_median,magnitude_range,magnitude_iqr,magnitude_skew,magnitude_kurt,corr_xy,corr_xz,corr_yz
aruki,aruki1_windowed_all.csv,-0.8691893756906075,0.2598292166680992,0.06751122183435805,-1.488022,-0.394119,-0.795288,1.093903,0.3699340000000001,-0.5583480726856075,-0.5566750298930145,0.5854293259668508,0.1716121923528254,0.02945074456414315,0.008377,0.968399,0.563675,0.960022,0.258117,0.04800064958653399,-0.09489908014829584,-0.02550017679558011,0.10969968334630543,0.012034020526279682,-0.497787,0.325745,-0.029037,0.8235319999999999,0.136261,-0.29697651399334546,1.8966639212340977,1.0694982336803163,0.25256221195927037,0.06378767090975941,0.6349739031322469,1.7577873971982503,1.0001960780017087,1.1228134940660035,0.38584599707562917,0.7385552464918552,-0.26904213565464374,-0.2631954521769339,-0.14083176494481786,0.036791404944570276
aruki,aruki1_window_0.csv,-0.9348405,0.31425153395727445,0.09875402659450001,-1.396439,-0.394119,-0.9631045,1.00232,0.4047655,0.2749396157852878,-0.6034496488327705,0.3625413,0.24330141524320087,0.05919557865934445,0.008377,0.882431,0.36576850000000005,0.874054,0.20525399999999996,0.8661561504813169,1.5039128565112154,-0.16867820000000003,0.19515049350568167,0.038083715115511105,-0.497787,0.203186,-0.18884250000000002,0.700973,0.12881125,0.24632745681944315,0.8139119493659246,1.0585785098021592,0.3156242786018419,0.0996186852429331,0.6349739031322469,1.654632764125623,1.0529852802258501,1.0196588609933763,0.39747034454050634,0.3880185894145721,-0.09123129507349947,-0.7090773168396577,-0.4145254942307597,0.5450627378480567
aruki,aruki1_window_1.csv,-0.8918069999999999,0.26110494038412985,0.06817578989300001,-1.368134,-0.533264,-0.805801,0.83487,0.26996600000000004,-0.8427136698775932,-0.022780240957828823,0.5535138181818181,0.12588954741345143,0.015848178147963635,0.401382,0.789352,0.52272,0.38797000000000004,0.16881600000000008,0.7451479233689209,-0.5088087473268121,-0.03268990909090908,0.1274493393536856,0.01624333410169091,-0.220108,0.151428,-0.069855,0.371536,0.18557,0.2328591740142206,-1.2730715906380894,1.0644421767498857,0.2587835626351906,0.0669689322901616,0.7504584118690388,1.5041667307120576,0.9753709222121604,0.7537083188430188,0.3237092717984691,0.6531109242164533,-0.7158327029652529,-0.3850306023858272,0.08359829747095182,0.2904823505483756
aruki,aruki1_window_10.csv,-0.8960129,0.32018479319482224,0.1025183017932111,-1.472076,-0.506851,-0.7661895000000001,0.9652249999999999,0.44362999999999975,-0.6567188703697826,-0.7342681984733561,0.597812,0.14983551445724297,0.022450681392666667,0.376266,0.802063,0.6373445,0.425797,0.23665599999999998,-0.4161762800866552,-1.2652594346405648,-0.0107681,0.10007564127915111,0.010015133977433333,-0.193268,0.173752,-0.000930499999999999,0.36702,0.09058374999999999,-0.08553512607675973,0.9245830620274447,1.0968335472728614,0.2958530628385056,0.08752903479092473,0.8200878541638085,1.6417111935099913,0.9986911354613961,0.8216233393461828,0.4761757382337565,0.8968105794264707,-0.6589053633526123,-0.2669238353528758,-0.3719333968292462,0.10793694653499464
aruki,aruki1_window_11.csv,-0.9262982999999998,0.3020847827216907,0.0912552159520111,-1.462173,-0.534256,-0.8340755,0.927917,0.44835249999999993,-0.4915832353607739,-0.8764023982824898,0.6452728999999999,0.1905910528431956,0.03632494942387778,0.331329,0.921326,0.6344225,0.589997,0.26599074999999994,-0.21431898633896815,-0.9332435822332847,-0.0194168,0.062190993079205434,0.003867719620177778,-0.110138,0.121399,-0.029282,0.231537,0.056217249999999996,1.114794489848606,2.5378558413212504,1.1450151422674752,0.30189418428426157,0.09114009850465969,0.8436657663251484,1.7282778277247557,1.0366818443970967,0.8846120613996072,0.4283839487826949,0.9184721766805461,-0.28843064128194396,-0.4057308309350384,-0.2950813064543614,0.23823465479099737
aruki,aruki1_window_12.csv,-0.8692720000000002,0.26991261103343966,0.0728528175948889,-1.261185,-0.40274,-0.910393,0.858445,0.36573849999999997,0.38943320766716716,-0.6532177713698726,0.5999695,0.14693373425478423,0.021589522262055554,0.359955,0.848206,0.5794524999999999,0.488251,0.13296949999999996,0.465604780125736,0.175979446175206,-0.017324799999999994,0.11271040617421071,0.012703635659955557,-0.215012,0.173798,-0.01606,0.38881,0.14576325,-0.023064738971179926,-0.07335313286718659,1.0819196329439114,0.21545467537025556,0.04642071713890221,0.7810463675000351,1.3751743153829628,1.0962404047252632,0.5941279478829277,0.3086645224068585,-0.038498250742289276,-1.2577915703292457,0.17601186653614997,-0.13946308665585988,-0.5964665888091903
aruki,aruki1_window_13.csv,-0.9347382,0.3426112543899021,0.11738247163462222,-1.488022,-0.574585,-0.777397,0.9134369999999999,0.551133,-0.822443403753341,-1.1947708054625905,0.6372513000000001,0.20280734102593798,0.04113081757401111,0.350159,0.947678,0.6664425,0.597519,0.25320050000000005,0.27745664265107317,-0.8899947847902161,-0.009439,0.07081027432512883,0.00501409495,-0.117523,0.09758,-0.0164335,0.215103,0.08954599999999999,0.0788284512663614,-0.9392243139608429,1.1492071789305591,0.3438528791490226,0.11823480249907235,0.8174047021549362,1.7577873971982503,0.9907778420872444,0.9403826950433141,0.5797291148018312,0.7655061803308211,-1.0282679966902912,-0.3942980701964445,-0.20175671313674767,-0.19004082712095235
aruki,aruki1_window_14.csv,-0.8565659,0.24594925212257826,0.06049103461965556,-1.259689,-0.510773,-0.799309,0.748916,0.30840325,-0.28479377039542564,-0.9605384401573382,0.6051758,0.1740351037768594,0.03028821734662222,0.353561,0.812164,0.5732575,0.458603,0.29308325,-0.014187291282811399,-1.7449886441850557,-0.0414963,0.10973702622588238,0.0120422149249,-0.19313,0.105621,-0.047447500000000004,0.298751,0.18773275,0.09320745763386767,-1.6526938083985843,1.0669549811313257,0.24902302727805128,0.06201246811472508,0.7828513370378823,1.5058579113120203,0.9507160108902261,0.723006574274138,0.36101449696734833,0.5642016628042631,-1.1096703354567943,-0.31416576115718536,0.19964936016458834,-0.7862715965836924
aruki,aruki1_window_15.csv,-0.8501190999999999,0.21002843727216772,0.04411194446298889,-1.256149,-0.60672,-0.782494,0.6494289999999999,0.24383549999999998,-0.7899656267199369,-0.0632248596938112,0.5585983999999999,0.13930398375909986,0.019405599891155555,0.320404,0.756882,0.568001,0.43647800000000003,0.20862199999999997,-0.2800304564735403,-0.9962197742840622,0.0133683,0.06536395247645635,0.0042724462833444435,-0.069626,0.143326,0.013397,0.212952,0.08653575,0.6067346415334871,0.21023856936095964,1.0301966175664377,0.1961271946713004,0.03846587648963417,0.7949265447454877,1.4212718065176695,1.0213706586705116,0.6263452617721817,0.18475147109568557,0.7750399082369651,0.4029726569761669,-0.09210003752923848,-0.018441116564557897,0.02982919755089812
aruki,aruki1_window_16.csv,-0.9007078999999999,0.263531446953553,0.06944882353343332,-1.417816,-0.623474,-0.797531,0.794342,0.23471799999999998,-1.1386248324623656,0.33029397402809835,0.599408,0.18959675507888957,0.03594692953644444,0.416733,0.948669,0.544205,0.531936,0.26972975000000005,0.8104486124433721,-0.6503670402214072,0.014288500000000004,0.06778354729127777,0.004594609283388889,-0.108994,0.109604,0.018074499999999997,0.218598,0.08230250000000001,-0.4704215558989795,-0.3569636524439921,1.0981573196179135,0.26627191679476025,0.07090073367355572,0.8676081657372756,1.6501429475096998,1.013289980263998,0.7825347817724242,0.3363809045494546,1.1855877762562246,0.5722930786764158,-0.23178793018438257,-0.520728081074197,0.08321096567289325
