label,source_file,x_mean,x_std,x_var,x_min,x_max,x_median,x_range,x_iqr,x_skew,x_kurt,x_fft_mean,x_fft_std,x_fft_max_power,x_fft_dominant_freq,x_fft_spectral_entropy,y_mean,y_std,y_var,y_min,y_max,y_median,y_range,y_iqr,y_skew,y_kurt,y_fft_mean,y_fft_std,y_fft_max_power,y_fft_dominant_freq,y_fft_spectral_entropy,z_mean,z_std,z_var,z_min,z_max,z_median,z_range,z_iqr,z_skew,z_kurt,z_fft_mean,z_fft_std,z_fft_max_power,z_fft_dominant_freq,z_fft_spectral_entropy,magnitude_mean,magnitude_std,magnitude_var,magnitude_min,magnitude_max,magnitude_median,magnitude_range,magnitude_iqr,magnitude_skew,magnitude_kurt,magnitude_fft_mean,magnitude_fft_std,magnitude_fft_max_power,magnitude_fft_dominant_freq,magnitude_fft_spectral_entropy,corr_xy,corr_xz,corr_yz
kudari,kudari3_windowed_all.csv,-0.8777617024793387,0.5496073787226455,0.3020682707463775,-2.265579,0.44072,-0.754669,2.7062989999999996,0.67807,-0.2896396793633138,-0.1453588679287119,36.55026076031167,78.92816180221176,452.6200599336452,1.9839670661467017,3.0380997165355126,0.37411977685950415,0.44139315179454797,0.19482791445112488,-0.321121,1.769897,0.288971,2.091018,0.586288,0.9978935347620403,0.6242179291825831,23.574177648586097,53.08136087458121,321.8517493625993,2.066632360569481,2.911238083721113,-0.12477727272727274,0.30077329107258394,0.09046457262263329,-1.062881,0.411789,-0.068375,1.47467,0.283387,-1.2670449841494584,1.6920984649773985,10.946213287338633,23.02607127106756,129.76093508492428,0.16533058884555848,2.948668071663925,1.0883587738184894,0.5715611517417524,0.3266821501803585,0.34233693976256785,2.8766187330160737,0.9131532848065543,2.534281793253506,0.7878058658652903,0.9627331240435518,0.10315052530769453,39.52854017182337,109.16544484458464,615.5909631645079,2.066632360569481,2.6720661114782613,-0.7725783089497316,-0.15121348823324368,0.03334400340819066
kudari,kudari4_windowed_all.csv,-0.8931749916666667,0.5598618518192643,0.3134452931224958,-2.54599,0.276703,-0.7833175,2.822693,0.6717535000000001,-0.554968621448266,0.2371447616877842,37.92871050342913,84.02939874719691,549.0029816979047,1.90896663318826,3.0162385160597065,0.43517355,0.4960853477522642,0.2461006722544849,-0.282089,1.826157,0.3082125,2.108246,0.5238989999999999,1.112142497942791,0.565192135285661,29.77163902872498,75.77246161432204,494.481472416959,1.90896663318826,2.837109033276153,-0.11355490833333333,0.3000962130725814,0.09005773710050416,-1.120407,0.487839,-0.075409,1.6082459999999998,0.296352,-1.1579055655225743,2.29101983292684,10.898453599404322,16.86550351288373,94.50555252477618,0.16599709853810957,3.291103953690446,1.1151433974833713,0.6356452498060813,0.4040448836010355,0.31095536099253857,3.134555265520932,0.9042961686009878,2.8235999045283937,0.7756610347089583,1.0776001069723844,0.479222395782402,48.873337796926236,145.88686321815476,976.8494819227012,1.90896663318826,2.595405821017272,-0.7169370081207753,0.004932900629253009,-0.09973337213099168
kudari,kudari5_windowed_all.csv,-0.62439223125,0.38087474689513146,0.14506557282243046,-1.498489,0.46936,-0.6810075,1.967849,0.5096895000000001,0.3504365135864533,-0.1740792686294017,23.349169436424443,62.397710152274584,455.41779135196043,0.0624685692733216,2.8920892180347564,0.5461727,0.44829406684735223,0.20096757037053833,-0.403885,1.588623,0.5999909999999999,1.992508,0.57706875,-0.2670067217053043,-0.4876611901062424,32.3582855011212,91.7179597581503,590.286919648137,0.1249371385466432,2.7849170360943654,-0.41493247499999997,0.30953485310107043,0.09581182528430125,-1.218857,0.073395,-0.313942,1.2922520000000002,0.46600300000000006,-0.704201202066138,-0.5601012545546409,15.405634292247395,62.71821935067007,499.8111098086187,0.0624685692733216,2.354593390888488,1.0794854375558376,0.36739280370028365,0.13497747221075515,0.26608748728190884,2.1465951983254783,1.0361319345885516,1.8805077110435695,0.5098412656290201,0.20610323840846353,-0.22329187399094197,21.715424478893738,52.88255515085571,297.7570702644314,1.6866513703796833,3.022896200465354,-0.7798205434633811,-0.3559533321037656,0.4431876435427013
kudari,kudari6_windowed_all.csv,-0.5925745214285714,0.4317494459561203,0.18640758408341684,-1.750061,0.423569,-0.491348,2.17363,0.5490459999999999,-0.4100834610658847,-0.180292220983155,26.277851959755548,50.48642874598215,265.17079346783595,0.14276470527818574,3.1494169380352117,0.4402838357142857,0.56498423078145,0.31920718103170675,-0.469925,2.271637,0.31880149999999996,2.741562,0.5540355,0.8867156129170816,0.5909012298741634,45.00962789101886,98.46117346414421,463.8022605306055,0.14276470527818574,2.9695849243236276,-0.5064818071428572,0.33515419993261814,0.11232833773247336,-1.403183,0.071457,-0.445625,1.4746400000000002,0.48366600000000004,-0.6205453763323092,-0.3171420734128625,15.828485574721812,31.29934323574595,214.33028116577287,0.14276470527818574,3.320294771715907,1.0332253084989447,0.5916019564958547,0.34999287492972314,0.2541615152791626,2.894247170110217,0.9078728918589402,2.6400856548310543,0.6715117411530568,1.1607379718951991,0.7931487744553007,49.34266409135504,111.00550805270866,637.2019964984582,1.9273235212555075,2.9982631876989574,-0.8986122425697942,0.18970854335392737,-0.20081155426406508
kudari,kudari7_windowed_all.csv,-0.5821168066666667,0.3417478099789847,0.1167915656254322,-1.483704,0.510895,-0.52005,1.994599,0.40872575,-0.24686288766142098,0.46410309823254847,17.63160370434465,40.54212218321884,275.7459733052308,1.7992754595464913,3.0762452941856426,0.3923115200000001,0.4199469239495401,0.17635541893468082,-0.410141,1.782394,0.3139265,2.192535,0.45013000000000003,0.6674112834947759,0.5252653299647321,26.623328096064864,63.716111373621594,346.3127781296921,1.7992754595464913,2.859673973669242,-0.6095176133333333,0.3538858866863285,0.1252352207957689,-1.75087,0.084991,-0.58889,1.835861,0.47506724999999994,-0.5593749892755767,0.25401285638659443,18.9122002361217,43.1272340730187,287.59555170895635,0.13327966367011046,3.117681791901022,1.0258956244168413,0.4784740685868215,0.2289374343100264,0.35104095376750555,2.1889279298263795,0.9198997952168495,1.8378869760588739,0.6005097662562435,0.8871835376813286,-0.17976888275943592,34.57130410156571,109.64453920026328,741.3404435493877,1.7992754595464913,2.650004155632526,-0.8669625573536502,0.22853840809783452,-0.19478871758326782
kudari,kudari8_windowed_all.csv,-0.6636063615384614,0.42743769427614664,0.18270298248810862,-2.089951,0.366318,-0.5540085,2.4562690000000003,0.50965825,-0.7850077221657644,0.3457645313823279,23.887556612996967,51.883713322954335,378.7250055852832,1.998915317269698,3.0940797074054824,0.4906873384615385,0.563501527608469,0.3175339716170782,-0.396576,2.120911,0.3887175,2.517487,0.67465225,0.9183712724737438,0.2631133461817159,41.5966246171555,90.74642954443665,514.2731183308043,1.998915317269698,2.9418498305091734,-0.41179529230769235,0.3293115616010398,0.10844610460411543,-1.312363,0.241241,-0.343109,1.553604,0.4520564999999999,-0.6472262964926772,-0.20280216503639492,14.196326823820781,39.0478622394599,288.51086503382544,0.07688135835652685,2.810298637823329,1.039783581312815,0.6135712969032843,0.3764697363835783,0.26128734592781183,2.9076264690943368,0.8874401399865637,2.6463391231665248,0.8072138517996564,0.9863625139989554,0.16864392971537567,49.26143367997666,133.88310066767866,947.8480798063243,1.998915317269698,2.7300574814000846,-0.8748220028204661,0.20302350776596864,-0.03932746832566482
kudari,kudari9_windowed_all.csv,-0.7169881499999999,0.3675531973975528,0.13509535291716443,-1.980286,0.10524,-0.7182465,2.0855259999999998,0.46931049999999996,-0.2634153814008813,0.5561367261025651,19.049895994111548,32.33807311903592,129.29770252957127,1.9273235212555075,3.2293286585992664,0.4825347142857142,0.4210992083633945,0.17732454328427752,-0.614487,1.406006,0.5474315000000001,2.020493,0.5112224999999999,-0.6038270502501997,0.09714193978521868,24.972929580806785,70.0793645472848,405.88446437959465,0.07138235263909287,2.605668582974948,-0.05760793571428571,0.32842269762460785,0.1078614683150246,-1.227798,0.374222,0.052268999999999996,1.60202,0.18882,-1.7807997158524427,2.4293106780302667,15.135151073456365,56.979230858440346,367.07768431494384,0.14276470527818574,2.0453307642842473,1.0155392952054776,0.37036402208920227,0.13716950885809112,0.3758365334357478,2.1487094042955186,1.0020885261301737,1.7728728708597707,0.505182126899652,0.48999429806263417,0.03485631096457764,19.309695926311175,47.016929410095685,260.2562440701464,1.9273235212555075,2.8603115516289503,-0.768096176250023,-0.4900283776908767,0.7185625188172223
nobori,nobori1_windowed_all.csv,-0.9296285725190839,0.4108509389947055,0.1687984940728312,-1.717056,0.342789,-0.948669,2.059845,0.5712735,0.6347455041590124,0.4855974712769342,22.11260272354089,45.20167336132426,274.4747291896821,1.8327659786940955,2.966599946806942,0.40708293129770995,0.3097478076232636,0.0959437043274183,-0.408936,0.995056,0.43486,1.4039920000000001,0.3318709999999999,-0.5898930605449841,0.2911089274501135,12.5686252668918,34.673549599199646,197.3102091050128,0.07636524911225398,2.5949267076996185,-0.1124721145038168,0.2761386887017419,0.07625257539791754,-1.113358,0.249786,-0.041397,1.3631440000000001,0.166466,-1.8976822511649343,2.953178074248754,9.9890873771272,29.816042697540528,157.52794204589148,0.07636524911225398,2.476370010451781,1.1357601853346373,0.30284725465374757,0.09171645965131184,0.6057057774291079,1.8381825784260386,1.097711897242168,1.2324768009969307,0.48292905844458334,0.2522365416489666,-0.8728527876839207,12.014856214321853,41.7014214801507,332.32993411386406,1.8327659786940955,2.5607505532737496,-0.38790361431788584,-0.4195896961350068,0.6735542568939723
nobori,nobori10_windowed_all.csv,-0.6606025470588235,0.32574301809807954,0.10610851383964576,-1.511993,0.231064,-0.6514665,1.7430569999999999,0.38181275000000003,0.2841252133689561,0.5797325387264465,18.02558931518926,30.015609107836223,113.79754543819928,0.058785266812064536,3.50465621627695,0.5489233705882354,0.386663671903431,0.1495087951698441,-0.565811,1.12941,0.6237105000000001,1.695221,0.33573174999999994,-1.4251720582455756,1.7316326921768392,25.566638076365457,80.81412859578907,474.52909963127576,0.058785266812064536,2.6095517331052482,0.0415615,0.298432710921163,0.08906208294775446,-0.946838,0.464417,0.129631,1.411255,0.15514,-2.0116882805547025,3.2313589174194495,15.229211481376094,59.76372940392972,427.4654928534427,0.058785266812064536,2.157904045797293,1.003440327623218,0.2750350735526032,0.07564429168408585,0.4989223775237988,1.681462072738782,0.9750927257006952,1.1825396952149831,0.37503143870234934,0.48866720668601293,-0.4509893818515227,12.886473608574837,24.978532005245075,155.06411584105857,1.763558004361936,3.5411495880631114,-0.7633411894676307,-0.6289405024981177,0.8157088805123072
nobori,nobori11_windowed_all.csv,-0.6569628875,0.3104321818105733,0.09636813950367283,-1.720001,0.173798,-0.6562425000000001,1.893799,0.3657415,0.039443589060337146,0.9993630630956769,15.507368485462253,28.111045392146224,174.4054250506959,1.811246936081956,3.406531361044937,0.58785915,0.40317674829501066,0.16255149036573838,-0.961258,1.332748,0.649994,2.294006,0.32904049999999996,-1.6848288422519833,3.104552285293498,26.166128206892154,74.27020365728379,414.56143812598833,0.1249135817987556,2.7170989167937063,0.08094872500000001,0.29767941672717446,0.0886130351430308,-1.270859,0.522827,0.155426,1.7936860000000001,0.17094025000000002,-2.3377137716884437,5.641169526346859,14.26017917554195,47.089419814377045,328.10530744464114,0.0624567908993778,2.4891371035429533,1.0264372860762478,0.2756689208831086,0.07599335394085761,0.4587740826049353,1.8028106151620586,1.016811271836806,1.3440365325571233,0.4073292545818753,0.36030524905455474,-0.25799674129602845,12.225725807684872,29.497283924066114,248.2111275009505,1.811246936081956,3.3106016451038025,-0.6788367424118091,-0.5190280288323075,0.7606188963915765
